,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02025,0.0128257553384
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04225,0.0171353435915
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00325,0.0133386656004
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.01525,0.0438634243989
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00275,0.0203646752982
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07525,0.0137113092008
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02175,0.0135062948287
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.05225,0.0189952625673
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00325,0.0126459479676
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02425,0.0109444049633
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03875,0.0157251391091
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01475,0.012
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.11525,0.048
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.11225,0.00692964645563
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04275,0.0176045448677
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.12525,0.0482804308183
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.13625,0.010572606112
0,loo,0.75525,100.0,300.0,0.0,3.0,0.12475,0.0324961536185
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.13175,0.0174819907333
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02075,0.0127467642953
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03575,0.00913126497261
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0169115345253
